ObjectID,GlobalID,Incidental Bird?,Time,4-Letter Species Code,Sex,Number of Birds in Incidental Group,Incidental Notes,Next Incidental Observation,ParentGlobalID,CreationDate,Creator,EditDate,Editor,x,y
104,d9e5bcd4-b432-481f-a69c-944e3a1638c5,,,,,,,,0283baf1-ae87-4369-b311-e065857ab32e,6/7/2024 2:49:34 PM,will.harrod,6/7/2024 2:49:34 PM,will.harrod,0,0
105,2901490c-8924-4188-aa5b-93ebca17b910,Y,06:44,SEOW,U,3,,,1f2a446d-b7df-4845-ab2c-3588c76b023c,6/7/2024 5:44:23 PM,will.harrod,6/7/2024 5:44:23 PM,will.harrod,-113.44689298,42.12217947
106,6a3bfcce-12b3-4fb9-8999-9dc5ea52345c,Y,08:10,CONI,U,,,,1f2a446d-b7df-4845-ab2c-3588c76b023c,6/7/2024 5:44:23 PM,will.harrod,6/7/2024 5:44:23 PM,will.harrod,-113.4522171,42.11743236
107,71a0e156-e06b-4807-a574-b055162b34b9,Y,08:24,GSGR,U,,,,1f2a446d-b7df-4845-ab2c-3588c76b023c,6/7/2024 5:44:23 PM,will.harrod,6/7/2024 5:44:23 PM,will.harrod,-113.45472563,42.1157164
108,f8dd8d21-4fae-4787-ba6b-eea1f87d286b,,,,U,,,,1f2a446d-b7df-4845-ab2c-3588c76b023c,6/7/2024 5:44:23 PM,will.harrod,6/7/2024 5:44:23 PM,will.harrod,-113.45472674,42.11571561
109,483612d8-aa65-4c61-8754-58429f9b81e9,,,,,,,,cf315d59-1623-4d98-9548-5328ebb9f7b6,6/7/2024 5:44:24 PM,will.harrod,6/7/2024 5:44:24 PM,will.harrod,0,0
110,22acbedf-2cd6-4a21-8a3b-4c9c3c29de7d,,,,,,,,c3732ff7-265a-4e64-8e00-806cdafd0b1d,6/7/2024 5:44:26 PM,will.harrod,6/7/2024 5:44:26 PM,will.harrod,0,0
111,ec237b5c-d7a4-4950-ba2f-21aa81200089,,,,,,,,f857bfbb-0e57-4751-8640-bd9de1cb3d7f,6/7/2024 5:44:27 PM,will.harrod,6/7/2024 5:44:27 PM,will.harrod,0,0
112,b61ee6fb-cac7-4c0a-9555-c0efc8b11277,,,,,,,,f804acb2-fc91-4ade-9548-6652e75bd335,6/9/2024 11:24:26 AM,will.harrod,6/9/2024 11:24:26 AM,will.harrod,0,0
113,38c9a32e-0174-4247-a201-211805b7e635,Y,08:24,GRSG,U,2,,,a56a893e-9692-4e63-81da-e2c08ba05649,6/10/2024 3:01:44 PM,will.harrod,6/10/2024 3:01:44 PM,will.harrod,-113.915588,41.80448371
