ObjectID,GlobalID,Date and Start Time,Observer Name,Transect ID,Visit #,Sky Start,Sky End,Wind Start,Wind End,Start Temperature,End Temperature,CreationDate,Creator,EditDate,Editor,x,y
11,93fea2fe-bdde-47e5-8aa9-96cc845fdb73,6/9/2022 12:56:00 PM,Rory Eggleston,UT-C17,V1,1,1,1,1,50,70,6/9/2022 9:43:56 PM,reggleston,6/9/2022 9:52:05 PM,reggleston,-113.63799330789,41.8655202538165
12,0ab73835-dda8-4390-8674-94bcd7eb002f,6/6/2022 12:07:00 PM,Eoin,C5,1,1,0,3,2,50,60,6/11/2022 3:04:44 AM,reggleston,6/11/2022 3:04:44 AM,reggleston,-113.943693758077,41.5338731751647
13,6a3fd0ed-7cf3-4ffe-8edc-91d2be8ef99b,6/7/2022 12:21:00 PM,Eoin,B15,1,0,0,0,1,46,55,6/11/2022 3:04:45 AM,reggleston,6/11/2022 3:04:45 AM,reggleston,-113.976083042793,41.8468716055297
14,0bd8b121-63e4-4718-858a-d849cd5c9c46,6/8/2022 12:04:00 PM,Eoin,B22,1,1,2,0,0,52,58,6/11/2022 3:04:46 AM,reggleston,6/11/2022 3:04:46 AM,reggleston,-113.942693396895,41.6970450769208
15,8cafbae9-1a9d-411e-a60d-256e23777d01,6/9/2022 12:26:00 PM,Eoin,B17,1,0,0,1,0,50,60,6/11/2022 3:04:47 AM,reggleston,6/11/2022 3:04:47 AM,reggleston,-113.611124735566,41.9052011590945
16,f2b4a0b1-6601-4116-b945-42e314d1abc9,6/10/2022 12:04:00 PM,Eoin,C8,1,0,0,2,1,55,70,6/11/2022 3:04:47 AM,reggleston,6/11/2022 3:04:47 AM,reggleston,-113.965396326354,41.7837753136551
17,633649bb-d6ff-4163-b298-70361af49aec,6/10/2022 1:00:00 PM,Eliza Wesemann,UT-B8,1,0,0,0,0,50,80,6/13/2022 3:11:24 AM,carter_ruger,6/13/2022 3:11:24 AM,carter_ruger,-114.029317127131,41.7953662567905
18,73b3984d-20c8-4bf5-9ec4-9d77ee641fad,6/6/2022 12:30:00 PM,Austin,UT-B6-P1,01,1,1,2,4,50,70,6/13/2022 3:12:09 AM,reggleston,6/13/2022 3:12:09 AM,reggleston,-113.941361245788,41.4898860031576
19,3c04f2f3-14c3-4116-b10c-3bc183d6d527,6/7/2022 12:21:00 PM,Austin,UT-B27,1,1,1,0,0,50,70,6/13/2022 3:12:10 AM,reggleston,6/13/2022 3:12:10 AM,reggleston,-114.029294875423,41.8896821357498
20,dd967442-d7eb-4010-95a0-a32b3f0471d1,6/8/2022 12:22:00 PM,Austin,UT-B2,1,1,3,1,0,52,70,6/13/2022 3:12:11 AM,reggleston,6/13/2022 3:12:11 AM,reggleston,-113.627628447234,41.5504096269123
21,019372be-e887-4421-bd25-58759b675ef9,6/9/2022 12:30:00 PM,Austin,UT-B19,1,1,1,0,0,56,78,6/13/2022 3:12:12 AM,reggleston,6/13/2022 3:12:12 AM,reggleston,-113.684079910485,41.97889342032
22,b92bdd32-217e-4a56-a45f-e5cf824d09a8,6/10/2022 12:29:00 PM,Austin,UT-B24,1,0,0,2,0,60,80,6/13/2022 3:12:13 AM,reggleston,6/13/2022 3:12:13 AM,reggleston,-113.954989782681,41.7819103479746
23,954529f3-03ae-4f09-a20d-cd824c20f476,6/10/2022 1:43:00 PM,Rory Eggleston,UT-C8,V1,1,1,1,0,65,80,6/13/2022 3:16:12 AM,reggleston,6/13/2022 3:16:12 AM,reggleston,-114.011697946223,41.7819576664286
24,428dd4de-4ef8-4688-a4cf-509f8e55324c,6/7/2022 12:20:00 PM,Ruger Carter,UT-B25,1,0,0,1,1,36,57,6/13/2022 11:00:26 AM,carter_ruger,6/13/2022 11:00:26 AM,carter_ruger,-114.000266252168,41.8448887421455
25,18dcafea-2ebc-48da-9ca1-b68cf0965407,6/8/2022 12:43:00 PM,Ruger Carter,UT-C2,1,1,2,1,1,52,63,6/13/2022 11:00:27 AM,carter_ruger,6/13/2022 11:00:27 AM,carter_ruger,-113.660264308023,41.5623653776902
26,39d73ead-87e1-48ce-9667-20de1c9b9a47,6/9/2022 1:59:00 PM,Ruger Carter,UT-C,1,0,0,1,1,56,70,6/13/2022 11:00:28 AM,carter_ruger,6/13/2022 11:00:28 AM,carter_ruger,-113.611537554024,41.9596580501079
27,df59ae8e-b0d1-4d3c-98d9-d20d35504c91,6/13/2022 12:26:00 PM,Eliza Wesemann,UT-B25,2,1,2,2,2,35,55,6/13/2022 7:27:11 PM,carter_ruger,6/13/2022 7:27:11 PM,carter_ruger,-114.000325367605,41.8449168696461
28,f76a6594-3066-4c64-adf8-4266564b2934,6/13/2022 12:11:00 PM,Austin,ID-B9,1,3,3,0,1,45,48,6/13/2022 7:50:09 PM,reggleston,6/13/2022 7:50:09 PM,reggleston,-113.9193938519,41.9995174827025
29,1e3b26b8-53d2-4ead-b2a3-cbe42a272b3e,6/14/2022 12:15:00 PM,Eliza wesemann,UT-B6,2,0,0,0,0,35,55,6/14/2022 8:17:00 PM,carter_ruger,6/14/2022 8:17:00 PM,carter_ruger,-113.95059160247,41.4964902302859
30,cefc6a25-bd6e-493a-ac59-d40c7feb8439,6/13/2022 12:38:00 PM,Rory Eggleston,UT-B15,V2,2,2,3,3,42,45,6/19/2022 8:18:31 PM,reggleston,6/19/2022 8:18:31 PM,reggleston,-113.967687338697,41.8536205916124
