ObjectID,GlobalID,Point #,Start Time at Point,Area Burned?,Percent of Area Burned,Area Treated?,Treatment Type,Percent of Area Treated,Cliff/Rock Present,Cheatgrass Present?,Percent Cheatgrat,Woody Vegitation Species Present,Woody Plant Species 1,Woody Plant Species 2,Woody Plant Species 3,Woody Plant Species 4,Woody Plant Species 5,Percent Tree Cover,Percent Shrub Cover,Average Shrub Height,Ground Cover Types Present,% snow cover,% water cover,% low woody vegitation (<0.25m) cover,% dead or downed tree cover,% herb or forb cover (not grass),% dead grass cover,% live grass cover,% leaf litter cover,% bare ground cover,"If Point Isn't Surveyed, Why?",Point Notes,ParentGlobalID,CreationDate,Creator,EditDate,Editor,Next Point,Average Dead Grass Height,x,y
91,26698ce6-fc77-4ec7-ac9d-b169844102fd,12,09:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1fe1b402-c1ba-464c-9af7-c68e0c668be2,5/16/2023 6:15:01 PM,will.harrod,5/24/2023 1:34:24 PM,will.harrod,,,-113.438496039575,42.1006200801557
92,08edc632-c695-496d-92d2-448e79d24080,16,09:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1fe1b402-c1ba-464c-9af7-c68e0c668be2,5/16/2023 6:15:01 PM,will.harrod,5/16/2023 6:15:01 PM,will.harrod,,,-113.438337555829,42.0986360487904
93,6afe39c0-8754-4706-836c-af5ae4aeeca1,15,09:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1fe1b402-c1ba-464c-9af7-c68e0c668be2,5/16/2023 6:15:01 PM,will.harrod,5/16/2023 6:15:01 PM,will.harrod,,,-113.441071465094,42.0983970094717
94,bf49439f-c4db-4cf8-aad0-4800760475f7,14,10:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1fe1b402-c1ba-464c-9af7-c68e0c668be2,5/16/2023 6:15:01 PM,will.harrod,5/16/2023 6:15:01 PM,will.harrod,,,-113.444028757248,42.0983385213649
111,41364503-98e6-4e1d-87e8-e9f0aa2b12a4,04,05:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d6950c9c-88dc-43ed-a079-dded6a6c21a8,5/18/2023 4:04:11 PM,will.harrod,5/18/2023 4:04:11 PM,will.harrod,,,-113.61065797504,41.95942157052
112,7d290b3e-6315-4a69-b299-a4ef02723d60,08,05:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d6950c9c-88dc-43ed-a079-dded6a6c21a8,5/18/2023 4:04:11 PM,will.harrod,5/18/2023 4:04:11 PM,will.harrod,,,-113.610633588419,41.9571664777534
113,7a36f1cf-65ff-4fd3-8b0e-7f6247b66e52,12,06:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d6950c9c-88dc-43ed-a079-dded6a6c21a8,5/18/2023 4:04:11 PM,will.harrod,5/18/2023 4:04:11 PM,will.harrod,,,-113.610515838829,41.9549569141422
114,2a2b7ccb-fb6d-4ad8-aae1-1a4f12e716a2,16,06:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d6950c9c-88dc-43ed-a079-dded6a6c21a8,5/18/2023 4:04:11 PM,will.harrod,5/18/2023 4:04:11 PM,will.harrod,,,-113.610368887399,41.9526432463902
115,85e6dae1-ef63-473d-a429-5dc2802bc41f,15,06:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d6950c9c-88dc-43ed-a079-dded6a6c21a8,5/18/2023 4:04:11 PM,will.harrod,5/18/2023 4:04:11 PM,will.harrod,,,-113.613435510362,41.9526504537916
116,620b76c8-e137-4bf9-af20-3083f95ffdd6,11,06:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d6950c9c-88dc-43ed-a079-dded6a6c21a8,5/18/2023 4:04:11 PM,will.harrod,5/18/2023 4:04:11 PM,will.harrod,,,-113.613548916819,41.9548281833695
