FID,RouteName,Point_ID,Geo_X,Geo_Y,UTM_X,UTM_Y
280,ID_B15,3,-113.8945468,42.05644604,260482.868,4660097.288
281,ID_B15,7,-113.8944416,42.05424633,260483.2976,4659852.727
282,ID_B15,11,-113.8943365,42.05204655,260483.7279,4659608.159
283,ID_B15,15,-113.8942313,42.04984669,260484.1589,4659363.582
284,ID_B15,4,-113.8915842,42.05652412,260728.3302,4660097.658
285,ID_B15,8,-113.891479,42.05432441,260728.7684,4659853.099
286,ID_B15,12,-113.8913739,42.05212463,260729.2072,4659608.531
287,ID_B15,16,-113.8912687,42.04992478,260729.6466,4659363.954
288,ID-C16,13,-113.9627203,42.22522925,255491.9808,4679033.426
289,ID-C16,14,-113.9597579,42.22531107,255736.7988,4679034.012
290,ID-C16,15,-113.9567956,42.2253929,255981.6161,4679034.607
291,ID-C16,16,-113.9538332,42.22547472,256226.4326,4679035.211
292,ID-C16,9,-113.9628308,42.22742288,255491.334,4679277.341
293,ID-C16,10,-113.9598684,42.2275047,255736.1435,4679277.926
294,ID-C16,11,-113.9569061,42.22758652,255980.9524,4679278.521
295,ID-C16,12,-113.9539437,42.22766834,256225.7604,4679279.123
296,ID-C16,5,-113.9629413,42.22961643,255490.688,4679521.247
297,ID-C16,6,-113.9599789,42.22969825,255735.4889,4679521.832
298,ID-C16,7,-113.9570165,42.22978007,255980.2894,4679522.426
299,ID-C16,8,-113.9540542,42.22986189,256225.089,4679523.028
300,ID-C16,1,-113.9630518,42.23180991,255490.0426,4679765.146
301,ID-C16,2,-113.9600894,42.23189173,255734.8351,4679765.73
302,ID-C16,3,-113.957127,42.23197354,255979.627,4679766.323
303,ID-C16,4,-113.9541647,42.23205536,256224.4182,4679766.924
304,ID-B16,13,-114.0002416,42.27114601,252574.8142,4684240.811
305,ID-B16,14,-113.9972789,42.27122186,252819.4598,4684240.624
306,ID-B16,15,-113.9943162,42.27129771,253064.1048,4684240.445
307,ID-B16,16,-113.9913536,42.27137356,253308.7491,4684240.275
308,ID-B16,9,-114.0003441,42.27333826,252574.9433,4684484.555
309,ID-B16,10,-113.9973814,42.27341411,252819.5805,4684484.367
310,ID-B16,11,-113.9944187,42.27348995,253064.2169,4684484.188
311,ID-B16,12,-113.9914561,42.2735658,253308.8528,4684484.017
312,ID-B16,5,-114.0004466,42.27553043,252575.073,4684728.291
313,ID-B16,6,-113.9974839,42.27560627,252819.7017,4684728.103
314,ID-B16,7,-113.9945212,42.27568212,253064.3298,4684727.923
315,ID-B16,8,-113.9915586,42.27575796,253308.9571,4684727.751
316,ID-B16,1,-114.0005491,42.27772253,252575.2034,4684972.019
317,ID-B16,2,-113.9975864,42.27779837,252819.8236,4684971.83
318,ID-B16,3,-113.9946237,42.27787421,253064.4432,4684971.649
319,ID-B16,4,-113.9916611,42.27795005,253309.0621,4684971.477
320,ID-C19,13,-114.0431425,42.20489571,248773.589,4677009.432
321,ID-C19,14,-114.0401796,42.20482565,249017.9396,4676992.92
322,ID-C19,15,-114.0372167,42.2047556,249262.2908,4676976.417
323,ID-C19,16,-114.0342538,42.20468555,249506.6424,4676959.922
324,ID-C19,9,-114.043048,42.20709045,248790.1013,4677252.876
325,ID-C19,10,-114.040085,42.2070204,249034.4435,4677236.365
326,ID-C19,11,-114.0371221,42.20695035,249278.7861,4677219.862
327,ID-C19,12,-114.0341592,42.2068803,249523.1292,4677203.367
328,ID-C19,5,-114.0429534,42.20928512,248806.6133,4677496.311
329,ID-C19,6,-114.0399905,42.20921507,249050.9469,4677479.8
330,ID-C19,7,-114.0370275,42.20914502,249295.281,4677463.298
331,ID-C19,8,-114.0340646,42.20907498,249539.6157,4677446.805
332,ID-C19,1,-114.0428588,42.21147971,248823.1246,4677739.738
333,ID-C19,2,-114.0398959,42.21140967,249067.4498,4677723.228
334,ID-C19,3,-114.036933,42.21133962,249311.7754,4677706.726
335,ID-C19,4,-114.03397,42.21126957,249556.1015,4677690.233
336,ID-B19,13,-114.0477325,42.22507478,248474.7955,4679263.832
337,ID-B19,14,-114.0447696,42.22500431,248719.0645,4679247.261
338,ID-B19,15,-114.0418067,42.22493385,248963.3338,4679230.698
339,ID-B19,16,-114.0388438,42.22486339,249207.6038,4679214.144
340,ID-B19,9,-114.0476373,42.22726881,248491.3673,4679507.195
341,ID-B19,10,-114.0446744,42.22719835,248735.6276,4679490.624
342,ID-B19,11,-114.0417115,42.22712789,248979.8887,4679474.062
343,ID-B19,12,-114.0387486,42.22705743,249224.15,4679457.508
344,ID-B19,5,-114.0475422,42.22946276,248507.9385,4679750.549
345,ID-B19,6,-114.0445793,42.2293923,248752.1905,4679733.979
346,ID-B19,7,-114.0416164,42.22932185,248996.4429,4679717.418
347,ID-B19,8,-114.0386535,42.22925139,249240.6959,4679700.864
348,ID-B19,1,-114.047447,42.23165664,248524.5093,4679993.895
349,ID-B19,2,-114.0444841,42.23158618,248768.7528,4679977.326
350,ID-B19,3,-114.0415212,42.23151573,249012.9967,4679960.765
351,ID-B19,4,-114.0385583,42.23144527,249257.2412,4679944.212
352,ID-B21,13,-113.0367009,42.01912204,331373.0173,4653905.283
353,ID-B21,14,-113.0337375,42.01918016,331618.5359,4653905.901
354,ID-B21,15,-113.0307741,42.01923829,331864.0541,4653906.527
355,ID-B21,16,-113.0278107,42.01929641,332109.5717,4653907.161
356,ID-B21,9,-113.0367792,42.02132358,331372.3587,4654149.889
357,ID-B21,10,-113.0338158,42.0213817,331617.8687,4654150.506
358,ID-B21,11,-113.0308524,42.02143983,331863.3784,4654151.132
359,ID-B21,12,-113.0278889,42.02149795,332108.8876,4654151.766
360,ID-B21,5,-113.0368574,42.02352505,331371.7004,4654394.487
361,ID-B21,6,-113.033894,42.02358317,331617.2021,4654395.104
362,ID-B21,7,-113.0309306,42.02364129,331862.7033,4654395.728
363,ID-B21,8,-113.0279672,42.02369941,332108.204,4654396.362
364,ID-B21,1,-113.0369356,42.02572643,331371.0427,4654639.076
365,ID-B21,2,-113.0339722,42.02578455,331616.5359,4654639.692
366,ID-B21,3,-113.0310088,42.02584267,331862.0287,4654640.317
367,ID-B21,4,-113.0280454,42.02590079,332107.5209,4654640.95
368,ID-B22,13,-112.9706953,42.100978,337047.6741,4662866.326
369,ID-B22,14,-112.9677316,42.10102946,337292.8728,4662866.391
370,ID-B22,15,-112.964768,42.10108092,337538.0712,4662866.465
371,ID-B22,16,-112.9618044,42.10113239,337783.2691,4662866.547
372,ID-B22,9,-112.9707646,42.10317686,337047.5712,4663110.615
373,ID-B22,10,-112.967801,42.10322833,337292.7615,4663110.68
374,ID-B22,11,-112.9648374,42.10327979,337537.9513,4663110.753
375,ID-B22,12,-112.9618737,42.10333125,337783.1407,4663110.835
376,ID-B22,5,-112.970834,42.10537566,337047.4687,4663354.896
377,ID-B22,6,-112.9678704,42.10542712,337292.6505,4663354.96
378,ID-B22,7,-112.9649067,42.10547858,337537.8319,4663355.033
379,ID-B22,8,-112.9619431,42.10553004,337783.0128,4663355.115
380,ID-B22,1,-112.9709033,42.10757437,337047.3666,4663599.169
381,ID-B22,2,-112.9679397,42.10762583,337292.54,4663599.233
382,ID-B22,3,-112.9649761,42.10767729,337537.7129,4663599.305
383,ID-B22,4,-112.9620125,42.10772875,337782.8854,4663599.386
384,ID-B26,13,-114.0635475,42.21563379,247131.7709,4678262.251
385,ID-B26,14,-114.0605849,42.21571105,247376.6392,4678262.039
386,ID-B26,15,-114.0576223,42.2157883,247621.5069,4678261.835
387,ID-B26,16,-114.0546597,42.21586555,247866.3738,4678261.641
388,ID-B26,9,-114.0636518,42.21782792,247131.9232,4678506.216
389,ID-B26,10,-114.0606892,42.21790517,247376.7831,4678506.003
390,ID-B26,11,-114.0577266,42.21798242,247621.6423,4678505.799
391,ID-B26,12,-114.054764,42.21805967,247866.5008,4678505.603
392,ID-B26,5,-114.0637561,42.22002198,247132.0763,4678750.172
393,ID-B26,6,-114.0607935,42.22009922,247376.9277,4678749.959
394,ID-B26,7,-114.0578309,42.22017647,247621.7784,4678749.754
395,ID-B26,8,-114.0548683,42.22025371,247866.6284,4678749.558
396,ID-B26,1,-114.0638604,42.22221596,247132.23,4678994.12
397,ID-B26,2,-114.0608978,42.2222932,247377.0728,4678993.906
398,ID-B26,3,-114.0579352,42.22237044,247621.9151,4678993.701
