"","Grid.ID","Grid.Type","Grid.X","Grid.Y","Shrub.Cover","Perennial.Cover","Annual.Cover","Bare.Ground.Cover","Elevation","TRI","Sage.Type","rdnbr","Fire.Year","Fire.Count","Prop.South","Prob.Burned","ln.Prop.South"
"32","ID-C28","R",272030.737515215,4663734.79249868,29.5414512576387,33.8201512620091,9.7755404227077,4.63162699151344,2046.03674750648,5.19894177583838,2,0,0,0,100,0,4.60517018598809
"33","UT-B01","B",273511.729939158,4601486.64960587,12.3846859263995,27.3733113818698,12.3790328971923,25.070060477938,1819.40265531262,1.33303819801937,1,2632.78017086833,2013,1,100,452.797202797203,4.60517018598809
"34","UT-B02","B",280986.761905089,4602574.30489313,11.1566966058042,13.5429838218299,25.0237096296873,33.4162900371722,1560.69348991173,1.24988743516265,1,1024.15786928957,2017,1,100,1412.5,4.60517018598809
"35","UT-B05","B",254325.735411468,4603710.44133601,18.6454223527695,16.1769793642976,10.6710089679343,27.2970766000473,1559.58680735835,2.26117354952981,1,927.596134528685,2018,1,100,361.69014084507,4.60517018598809
"36","UT-B06","B",254060.66565022,4597668.91678561,13.7340843606092,13.2196494244371,23.2751753911316,27.1335139981166,1525.67069461022,1.62055521835516,1,1018.04605655246,2018,1,100,339.473684210526,4.60517018598809
"37","UT-B08","B",250097.903698242,4629577.81120312,16.0030943977842,34.6688407954975,10.5917147446767,12.008834063022,2129.71186490987,6.80860689713491,2,1377.49728348828,2018,1,100,230.109489051095,4.60517018598809
"38","UT-B15","B",253262.815754485,4637414.32481728,30.8975534949848,29.9080164533534,4.78102239277914,12.4027486583121,1898.72650117784,2.71329669294686,2,801.913567850182,1999,1,100,163.191763191763,4.60517018598809
"39","UT-B16","B",252606.62338999,4639323.92977998,37.9184073044879,28.7262758640113,2.62401516858419,6.78305828173324,1932.9012683048,5.34378075711955,2,398.915321350098,1999,2,100,18071.4285714286,4.60517018598809
"40","UT-B17","B",283036.978582628,4641741.64845317,32.4713058405529,34.6514080400412,3.60005452536434,7.60640994358614,2006.22950532077,3.53027087996797,2,707.309879281091,2002,1,NA,Inf,NA
"41","UT-B19","B",277245.355846482,4651303.46799372,23.6643461369618,32.1797076075351,6.35565413203773,15.6074858465303,1829.04238440102,3.60579218668683,1,1812.61506758182,2000,1,100,1190.47619047619,4.60517018598809
"42","UT-B22","B",255435.398630732,4619758.66183599,15.6571055359648,20.0193796613414,8.06360004763188,32.0792265950748,1632.27333910547,0.973968314925622,1,555.673067596003,2018,1,100,359.745762711864,4.60517018598809
"43","UT-B24","B",247965.813065461,4631879.14904715,28.3129061123681,31.6121314351521,4.37589440750816,12.3208695354916,2040.42436911843,3.93433191185835,2,555.977428963479,2018,2,100,466.788321167883,4.60517018598809
"44","UT-B25","B",251158.587062274,4636409.59828295,31.3799823884434,33.8423987121721,4.66673763562249,9.05173090966919,1929.24466387657,7.85455506891542,2,448.804168701172,1999,2,100,8561.53846153846,4.60517018598809
"45","UT-B27","B",248335.503584768,4642388.44158411,10.8268669797897,28.4468193939209,13.5996375694275,17.9093129673004,1678.41445281887,1.19156803382228,1,529.197776069044,2007,2,100,1651.94805194805,4.60517018598809
"46","UT-B30","B",250018.601603284,4639061.92270442,22.2195929338218,35.249045935406,8.67655100649709,9.78060829962135,1944.18551645279,5.75821267366409,2,1624.53349085247,2007,2,100,736.781609195402,4.60517018598809
"47","UT-C01","R",273752.81748392,4606010.98575276,25.3907793164253,26.978671198472,5.94807384196573,15.9122823301034,1854.91536571887,1.68093022782673,3,0,0,0,100,0,4.60517018598809
"48","UT-C02","R",278422.499346606,4604587.98874128,21.4556074761252,13.7252172999103,9.09330111878519,25.1330204252675,1642.37629907868,1.20800977952788,3,0,0,0,100,0,4.60517018598809
"49","UT-C05","R",254823.199220678,4601837.50124179,34.7091936237997,6.63519293665409,1.393820035595,30.0636887279727,1525.47104383723,0.544476384960481,1,0,0,0,100,0,4.60517018598809
"50","UT-C06","R",248482.380724127,4589820.90198836,18.1595529672927,11.4010878313715,9.43860806502266,26.2413998460656,1578.01959376915,2.58922606225107,3,0,0,0,100,0,4.60517018598809
