"","Route.ID","Route.Type","Sagebrush.Prop","Annual.Cover","Perennial.Cover","Shrub.Cover","Bare.Ground.Cover","Shrub.Height","Burn.Sevarity","Fire.Distance","Elevation","TRI","Aspect","Precipitation","Road.Distance","Fire.Name","Fire.Year","Center.X","Center.Y"
"48","UT-C02","R",43.887173071271,6.67636363636364,21.8957575757576,13.7727272727273,52.5981818181818,25.1890909090909,NA,1159.58882671814,1642.42498757183,1.6061774359809,5,684.162963867188,163.433195325039,NA,NA,278422,4604587
"49","UT-C05","R",59.5280647871561,6.83545069570478,22.6781609195402,17.8445251058681,44.4361766485178,29.8136721113128,NA,820.354972368861,1525.87292193331,0.7542459467208,-1,591.09228515625,828.88763574807,NA,NA,254823,4601837
"50","UT-C06","R",43.2375308354676,12.1958762886598,30.7198302001213,12.3062462098241,41.4414796846574,23.9411764705882,2,545.147230083816,1573.68572025773,3.00930482066089,3,603.187357584635,443.064249437694,NA,NA,248482,4589820
"51","UT-C08","R",37.1774368847782,17.3349455864571,52.1729141475212,17.0550181378476,11.4866989117291,28.0598548972189,NA,942.287318943779,2023.79329205941,7.29347379196093,7,1230.00573730469,493.327742820348,NA,NA,253197,4630386
"52","UT-C15","R",27.72187437498,18.1352657004831,55.8762077294686,17.9522946859903,6.40338164251208,31.0778985507246,NA,1671.42659443965,2031.81264141037,6.41957907619247,3,1228.09759521484,827.807377430208,NA,NA,253641,4633661
"53","UT-C16","R",42.4153541154407,10.5306859205776,46.8604091456077,28.3080625752106,3.49217809867629,41.988567990373,NA,2355.51568013804,2037.84218137804,5.00850960999457,3,1169.26226806641,427.806247926935,NA,NA,254318,4644063
"54","UT-C17","R",44.9806501180092,8.63816977724263,42.4551475015051,28.6670680313064,11.0794701986755,36.8567128236002,NA,1627.40438553271,2201.02675299722,4.86008250132714,5,1458.90356445312,196.243718132924,NA,NA,280662,4637365
"55","UT-C19","R",48.030953833855,13.4226118500605,40.2515114873035,11.0096735187424,33.7551390568319,24.1825876662636,NA,1204.21912221891,1735.55624279344,0.974629404458655,-1,767.368286132812,634.402163841874,NA,NA,283276,4648184
"56","UT-C22","R",64.024200606713,7.76964933494559,28.8065296251511,18.0024183796856,36.5199516324063,30.5701330108827,NA,825.630191961637,1630.66664263592,1.02788097731733,-1,729.099365234375,586.560509161358,NA,NA,257546,4620195
"57","UT-C24","B",37.3094658212959,18.6686819830713,52.1638452237001,16.7629987908102,12.2448609431681,26.7696493349456,3,-1684.79745848283,2091.7861238194,7.10956793706774,3,1157.47546386719,322.737590356202,"Dry Mountain",1999,254853,4630123
"58","UT-C25","B",27.8802680243427,21.5754830917874,57.1274154589372,13.4740338164251,10.786231884058,24.679347826087,3,-2554.7472568436,2072.36471351715,8.61744178863893,3,1150.06115722656,470.255773583519,"Dry Mountain",1999,255892,4634031
"59","UT-C27","R",69.8124129277051,11.1019915509958,49.0712130356065,9.89499094749547,23.3796016898008,21.6831623415812,2,400.647945750005,1585.04712627795,1.93560721113999,-1,728.329742431641,572.445196269357,NA,NA,251125,4648368
"60","UT-C30","R",36.3567857869528,19.9045317220544,53.6918429003021,12.4229607250755,14.2229607250755,24.9039274924471,1,4139.28350547134,1880.79982047879,4.40459712977587,3,911.454864501953,539.168323475432,NA,NA,257508,4632590
