"","Full.Point.ID","Route.ID","Route.Type","Sage.Cover","Perennial.Cover","Elevation","Burn.Sevarity","Aspect","Fire.Name","Fire.Year","Fire.Distance"
"58","ID-B09-P10","ID-B09","B",6.34545454545455,53.5090909090909,1719.11643327985,3,7,"Devine Canyon",2000,703.86542857777
"59","ID-B09-P11","ID-B09","B",6.63636363636364,56.5090909090909,1767.65718430739,3,-1,"Devine Canyon",2000,901.736641068892
"60","ID-B09-P12","ID-B09","B",7.7037037037037,55.3888888888889,1774.69458451705,4,2,"Devine Canyon",2000,724.717426845006
"61","ID-B09-P13","ID-B09","B",7.18518518518519,51.5740740740741,1732.0707103588,4,-1,"Devine Canyon",2000,492.91737874349
"62","ID-B09-P14","ID-B09","B",9.4,50.5454545454545,1736.28693498884,4,-1,"Devine Canyon",2000,729.267794008608
"63","ID-B09-P15","ID-B09","B",6.18181818181818,53.3454545454545,1761.50037560096,3,-1,"Devine Canyon",2000,828.310888671875
"64","ID-B09-P16","ID-B09","B",5.09259259259259,55.3518518518519,1789.17625399503,3,-1,"Devine Canyon",2000,613.348461574978
"65","ID-B11-P01","ID-B11","B",1.8,53.1818181818182,1707.09707423619,3,-1,"Jim Sage",2007,846.903081720526
"66","ID-B11-P02","ID-B11","B",1.21428571428571,57.7678571428571,1689.04032615379,3,-1,"Jim Sage",2007,646.977029305917
"67","ID-B11-P03","ID-B11","B",1.48214285714286,56.9464285714286,1667.75915301288,3,-1,"Jim Sage",2007,466.936370849609
"68","ID-B11-P04","ID-B11","B",2.94444444444444,47.4074074074074,1650.09736915871,2,-1,"Jim Sage",2007,282.718752825702
"69","ID-B11-P05","ID-B11","B",2.05454545454545,55.1636363636364,1700.54296221052,3,-1,"Jim Sage",2007,978.292206940828
"70","ID-B11-P06","ID-B11","B",1.39285714285714,63.9285714285714,1684.07787863991,3,-1,"Jim Sage",2007,809.45726747866
"71","ID-B11-P07","ID-B11","B",1.75,60.1428571428571,1668.76400257457,3,-1,"Jim Sage",2007,613.767869737413
"72","ID-B11-P08","ID-B11","B",2.22641509433962,54.0188679245283,1654.34451793324,2,-1,"Jim Sage",2007,429.906785753038
"73","ID-B11-P09","ID-B11","B",2.41818181818182,50.6181818181818,1696.92553045099,3,-1,"Jim Sage",2007,993.711389160156
"74","ID-B11-P10","ID-B11","B",1.33333333333333,55.2407407407407,1683.54037945087,3,-1,"Jim Sage",2007,955.297199450041
"75","ID-B11-P11","ID-B11","B",1.29090909090909,61.0727272727273,1670.5707964216,3,-1,"Jim Sage",2007,769.88471476237
"76","ID-B11-P12","ID-B11","B",1.57407407407407,59.8518518518519,1651.89971923828,3,-1,"Jim Sage",2007,628.317801842323
"77","ID-B11-P13","ID-B11","B",2.35185185185185,54.0925925925926,1675.12533230252,3,-1,"Jim Sage",2007,839.478494916643
"78","ID-B11-P14","ID-B11","B",1.8,51.8,1665.83778187145,3,-1,"Jim Sage",2007,1016.65009961809
"79","ID-B11-P15","ID-B11","B",1.75471698113208,53.3396226415094,1650.90627260561,3,-1,"Jim Sage",2007,965.119605170356
"80","ID-B11-P16","ID-B11","B",1.36363636363636,58.0181818181818,1637.91339917453,3,-1,"Jim Sage",2007,848.127573464134
"81","ID-B12-P01","ID-B12","B",1.05769230769231,71.25,1784.09149280895,1,1,"Emery",2010,192.661289978027
"82","ID-B12-P02","ID-B12","B",0.365384615384615,73.8269230769231,1772.81931413923,2,1,"Emery",2010,337.509713349519
"83","ID-B12-P03","ID-B12","B",0.928571428571429,70.3392857142857,1802.21919468471,1,6,"Emery",2010,524.881575972946
"84","ID-B12-P04","ID-B12","B",0.732142857142857,69.5892857142857,1862.48833229759,2,6,"Emery",2010,378.869985684482
"85","ID-B12-P05","ID-B12","B",1.57407407407407,68.2592592592593,1841.31033497936,2,1,"Emery",2010,350.967386979323
"86","ID-B12-P06","ID-B12","B",0.240740740740741,73.537037037037,1819.76566716974,2,2,"Emery",2010,525.575009987571
"87","ID-B12-P07","ID-B12","B",1.87037037037037,66.1851851851852,1808.3580758231,2,1,"Emery",2010,618.205547980542
"88","ID-B12-P08","ID-B12","B",0.8,68.8363636363636,1817.10975042379,1,6,"Emery",2010,409.081238337926
"89","ID-B12-P09","ID-B12","B",0.732142857142857,70.6964285714286,1876.54088416466,2,3,"Emery",2010,561.992752363097
"90","ID-B12-P10","ID-B12","B",1.7037037037037,66.9814814814815,1897.63252459832,2,8,"Emery",2010,337.585853992809
"91","ID-B12-P11","ID-B12","B",0.581818181818182,72.6545454545455,1875.82920554832,2,2,"Emery",2010,520.137073717619
"92","ID-B12-P12","ID-B12","B",0.962264150943396,73.2452830188679,1860.516970034,2,1,"Emery",2010,645.63241141183
"93","ID-B12-P13","ID-B12","B",1.27777777777778,68.4814814814815,1832.00531231916,2,2,"Emery",2010,438.819138960405
"94","ID-B12-P14","ID-B12","B",1.07142857142857,66.9464285714286,1899.75576171875,2,-1,"Emery",2010,190.193020907315
"95","ID-B12-P15","ID-B12","B",0.321428571428571,68.4642857142857,1910.71697998047,2,-1,"Emery",2010,423.798019686612
"96","ID-B12-P16","ID-B12","B",0.666666666666667,70.7407407407407,1905.5963275616,2,-1,"Emery",2010,655.811093930845
"97","ID-B13-P01","ID-B13","B",3.83333333333333,55.0555555555556,2212.71112837358,3,6,"Badger",2020,459.822145734514
"98","ID-B13-P02","ID-B13","B",3.55555555555556,58.9074074074074,2230.44051558883,3,-1,"Badger",2020,432.032284327916
"99","ID-B13-P03","ID-B13","B",3.46428571428571,58.8928571428571,2232.06410618832,3,-1,"Badger",2020,377.118569833261
"100","ID-B13-P04","ID-B13","B",2.43396226415094,55.2452830188679,2222.56432669503,3,-1,"Badger",2020,250.494464874268
"101","ID-B13-P05","ID-B13","B",2.27272727272727,42.5090909090909,2183.50143771701,3,8,"Badger",2020,671.457927562572
"102","ID-B13-P06","ID-B13","B",3.55555555555556,50.6111111111111,2219.16976768092,3,-1,"Badger",2020,670.273070137456
"103","ID-B13-P07","ID-B13","B",3.54,61.14,2235.56683575666,3,-1,"Badger",2020,576.77434035967
"104","ID-B13-P08","ID-B13","B",2.34210526315789,56.8157894736842,2236.89432327836,3,-1,"Badger",2020,480.444060189383
"105","ID-B13-P09","ID-B13","B",3.55769230769231,48.0769230769231,2206.93678065709,3,-1,"Badger",2020,890.950614646629
"106","ID-B13-P10","ID-B13","B",4,55.9272727272727,2226.53991699219,3,-1,"Badger",2020,898.204129819517
"107","ID-B13-P11","ID-B13","B",3.7037037037037,61.9814814814815,2235.7055166739,3,-1,"Badger",2020,788.094936301491
"108","ID-B13-P12","ID-B13","B",3,54.0576923076923,2241.8457829402,3,-1,"Badger",2020,713.062008197491
"109","ID-B13-P13","ID-B13","B",3.2,49.9454545454545,2196.5570690227,3,-1,"Badger",2020,823.060321599787
"110","ID-B13-P14","ID-B13","B",3.5,58.0925925925926,2224.02597212358,3,-1,"Badger",2020,885.503327589769
"111","ID-B13-P15","ID-B13","B",3.24528301886792,51.1132075471698,2232.92360142299,3,-1,"Badger",2020,795.215225497159
"112","ID-B13-P16","ID-B13","B",3.98076923076923,52.5,2245.53565340909,3,-1,"Badger",2020,692.649384099787
"113","ID-B15-P01","ID-B15","B",4.30357142857143,52.7142857142857,1689.84047522912,2,-1,"Emery",2010,114.784817165799
"114","ID-B15-P02","ID-B15","B",4.34545454545455,51.4909090909091,1707.97616577148,2,-1,"Emery",2010,54.9198978130634
"115","ID-B15-P03","ID-B15","B",3.94545454545455,48.0545454545455,1738.07883522727,3,-1,"Emery",2010,126.982653072902
"116","ID-B15-P04","ID-B15","B",4.10909090909091,38.5454545454545,1770.4119240897,3,6,"Emery",2010,299.370345791903
"117","ID-B15-P05","ID-B15","B",5.01818181818182,53.6545454545455,1696.96861871683,3,-1,"Emery",2010,97.0658973966326
"118","ID-B15-P06","ID-B15","B",3.96296296296296,57.0740740740741,1716.80387821904,3,-1,"Emery",2010,111.413152200204
"119","ID-B15-P07","ID-B15","B",3.89090909090909,57.5818181818182,1730.49440696023,3,-1,"Emery",2010,286.367183544018
"120","ID-B15-P08","ID-B15","B",3.50943396226415,53.7547169811321,1757.5421055385,3,-1,"Emery",2010,455.068285906756
"121","ID-B15-P09","ID-B15","B",5.57407407407407,44.8333333333333,1728.13177157315,3,-1,"Emery",2010,286.329806736537
"122","ID-B15-P10","ID-B15","B",5.07407407407407,47.2407407407407,1744.86350052445,3,-1,"Emery",2010,323.225396451083
"123","ID-B15-P11","ID-B15","B",4.18181818181818,49.0727272727273,1781.00037325346,4,7,"Emery",2010,393.985576923077
"124","ID-B15-P12","ID-B15","B",3.75471698113208,57.2075471698113,1789.95870632595,3,1,"Emery",2010,410.361003947708
"125","ID-B15-P13","ID-B15","B",6.18518518518519,49.6111111111111,1709.20680236816,3,-1,"Emery",2010,198.404034614563
"126","ID-B15-P14","ID-B15","B",5.25,46,1736.68035670689,3,-1,"Emery",2010,253.906224003545
"127","ID-B15-P15","ID-B15","B",4.21428571428571,46.75,1764.96108443649,3,6,"Emery",2010,199.074257483849
