"","Full.Point.ID","Point.ID","Route.ID","UTM.X","UTM.Y","Geo.X","Geo.Y","Route.Type"
"117","ID-B15-P02","02","ID-B15",260237.405,4660096.926,-113.8975094,42.05636796,"B"
"118","ID-B15-P06","06","ID-B15",260237.8262,4659852.365,-113.8974042,42.05416825,"B"
"119","ID-B15-P10","10","ID-B15",260238.2481,4659607.795,-113.897299,42.05196847,"B"
"120","ID-B15-P14","14","ID-B15",260238.6706,4659363.217,-113.8971939,42.0497686,"B"
"121","ID-B15-P03","03","ID-B15",260482.868,4660097.288,-113.8945468,42.05644604,"B"
"122","ID-B15-P07","07","ID-B15",260483.2976,4659852.727,-113.8944416,42.05424633,"B"
"123","ID-B15-P11","11","ID-B15",260483.7279,4659608.159,-113.8943365,42.05204655,"B"
"124","ID-B15-P15","15","ID-B15",260484.1589,4659363.582,-113.8942313,42.04984669,"B"
"125","ID-B15-P04","04","ID-B15",260728.3302,4660097.658,-113.8915842,42.05652412,"B"
"126","ID-B15-P08","08","ID-B15",260728.7684,4659853.099,-113.891479,42.05432441,"B"
"127","ID-B15-P12","12","ID-B15",260729.2072,4659608.531,-113.8913739,42.05212463,"B"
"128","ID-B15-P16","16","ID-B15",260729.6466,4659363.954,-113.8912687,42.04992478,"B"
"129","ID-B16-P13","13","ID-B16",252574.8142,4684240.811,-114.0002416,42.27114601,"B"
"130","ID-B16-P14","14","ID-B16",252819.4598,4684240.624,-113.9972789,42.27122186,"B"
"131","ID-B16-P15","15","ID-B16",253064.1048,4684240.445,-113.9943162,42.27129771,"B"
"132","ID-B16-P16","16","ID-B16",253308.7491,4684240.275,-113.9913536,42.27137356,"B"
"133","ID-B16-P09","09","ID-B16",252574.9433,4684484.555,-114.0003441,42.27333826,"B"
"134","ID-B16-P10","10","ID-B16",252819.5805,4684484.367,-113.9973814,42.27341411,"B"
"135","ID-B16-P11","11","ID-B16",253064.2169,4684484.188,-113.9944187,42.27348995,"B"
"136","ID-B16-P12","12","ID-B16",253308.8528,4684484.017,-113.9914561,42.2735658,"B"
"137","ID-B16-P05","05","ID-B16",252575.073,4684728.291,-114.0004466,42.27553043,"B"
"138","ID-B16-P06","06","ID-B16",252819.7017,4684728.103,-113.9974839,42.27560627,"B"
"139","ID-B16-P07","07","ID-B16",253064.3298,4684727.923,-113.9945212,42.27568212,"B"
"140","ID-B16-P08","08","ID-B16",253308.9571,4684727.751,-113.9915586,42.27575796,"B"
"141","ID-B16-P01","01","ID-B16",252575.2034,4684972.019,-114.0005491,42.27772253,"B"
"142","ID-B16-P02","02","ID-B16",252819.8236,4684971.83,-113.9975864,42.27779837,"B"
"143","ID-B16-P03","03","ID-B16",253064.4432,4684971.649,-113.9946237,42.27787421,"B"
"144","ID-B16-P04","04","ID-B16",253309.0621,4684971.477,-113.9916611,42.27795005,"B"
"145","ID-B19-P13","13","ID-B19",248474.7955,4679263.832,-114.0477325,42.22507478,"B"
"146","ID-B19-P14","14","ID-B19",248719.0645,4679247.261,-114.0447696,42.22500431,"B"
"147","ID-B19-P15","15","ID-B19",248963.3338,4679230.698,-114.0418067,42.22493385,"B"
"148","ID-B19-P16","16","ID-B19",249207.6038,4679214.144,-114.0388438,42.22486339,"B"
"149","ID-B19-P09","09","ID-B19",248491.3673,4679507.195,-114.0476373,42.22726881,"B"
"150","ID-B19-P10","10","ID-B19",248735.6276,4679490.624,-114.0446744,42.22719835,"B"
"151","ID-B19-P11","11","ID-B19",248979.8887,4679474.062,-114.0417115,42.22712789,"B"
"152","ID-B19-P12","12","ID-B19",249224.15,4679457.508,-114.0387486,42.22705743,"B"
"153","ID-B19-P05","05","ID-B19",248507.9385,4679750.549,-114.0475422,42.22946276,"B"
"154","ID-B19-P06","06","ID-B19",248752.1905,4679733.979,-114.0445793,42.2293923,"B"
"155","ID-B19-P07","07","ID-B19",248996.4429,4679717.418,-114.0416164,42.22932185,"B"
"156","ID-B19-P08","08","ID-B19",249240.6959,4679700.864,-114.0386535,42.22925139,"B"
"157","ID-B19-P01","01","ID-B19",248524.5093,4679993.895,-114.047447,42.23165664,"B"
"158","ID-B19-P02","02","ID-B19",248768.7528,4679977.326,-114.0444841,42.23158618,"B"
"159","ID-B19-P03","03","ID-B19",249012.9967,4679960.765,-114.0415212,42.23151573,"B"
"160","ID-B19-P04","04","ID-B19",249257.2412,4679944.212,-114.0385583,42.23144527,"B"
"161","ID-B21-P13","13","ID-B21",331373.0173,4653905.283,-113.0367009,42.01912204,"B"
"162","ID-B21-P14","14","ID-B21",331618.5359,4653905.901,-113.0337375,42.01918016,"B"
"163","ID-B21-P15","15","ID-B21",331864.0541,4653906.527,-113.0307741,42.01923829,"B"
"164","ID-B21-P16","16","ID-B21",332109.5717,4653907.161,-113.0278107,42.01929641,"B"
"165","ID-B21-P09","09","ID-B21",331372.3587,4654149.889,-113.0367792,42.02132358,"B"
"166","ID-B21-P10","10","ID-B21",331617.8687,4654150.506,-113.0338158,42.0213817,"B"
"167","ID-B21-P11","11","ID-B21",331863.3784,4654151.132,-113.0308524,42.02143983,"B"
"168","ID-B21-P12","12","ID-B21",332108.8876,4654151.766,-113.0278889,42.02149795,"B"
"169","ID-B21-P05","05","ID-B21",331371.7004,4654394.487,-113.0368574,42.02352505,"B"
"170","ID-B21-P06","06","ID-B21",331617.2021,4654395.104,-113.033894,42.02358317,"B"
"171","ID-B21-P07","07","ID-B21",331862.7033,4654395.728,-113.0309306,42.02364129,"B"
"172","ID-B21-P08","08","ID-B21",332108.204,4654396.362,-113.0279672,42.02369941,"B"
"173","ID-B21-P01","01","ID-B21",331371.0427,4654639.076,-113.0369356,42.02572643,"B"
