"","Full.Point.ID","UTM.X","UTM.Y","Sage.Cover","Shrub.Cover","Perennial.Cover","Annual.Cover","Bare.Ground.Cover","TRI","Elevation","Aspect","Fire.Dist","Tree.Cover","Burned","mean.rdnbr","Fire.Year","Fire.Count"
"43","UT-C05-P11",254942.2014,4601710.707,11.5,18.9074074074074,19.6481481481481,5.33333333333333,46.9259259259259,0.484148842947824,1520.99029758998,-1,-912.476027877242,0,0,0,1800,0
"44","UT-C05-P12",255194.1124,4601710.665,10.5471698113208,18.0943396226415,21.7547169811321,6.71698113207547,45.0943396226415,0.53643148916739,1516.15510163484,-1,-1096.08321089311,0,0,0,1800,0
"45","UT-C05-P13",254439.4653,4601462.52,9.55769230769231,16.8846153846154,21.7884615384615,6.51923076923077,46.8461538461538,0.628254560990767,1522.91351873224,-1,-362.729141780308,0,0,0,1800,0
"46","UT-C05-P14",254691.3754,4601462.475,9.67857142857143,17.1071428571429,24.6071428571429,7.94642857142857,43.1071428571429,0.663447432084517,1521.38495205966,-1,-579.552978515625,0,0,0,1800,0
"47","UT-C05-P15",254943.2863,4601462.431,11.622641509434,19.0754716981132,19.7735849056604,5.47169811320755,46.6415094339623,0.531363747336648,1518.38739346591,-1,-785.650952148437,0,0,0,1800,0
"48","UT-C05-P16",255191.8346,4601461.089,11.8846153846154,19.0961538461538,19.1923076923077,4.98076923076923,46.9230769230769,0.510443278721401,1513.36366925921,-1,-868.934876578195,0,0,0,1800,0
"49","UT-C06-P01",248130.1708,4590219.588,6.77358490566038,12.6415094339623,33.1320754716981,11.6037735849057,37.622641509434,4.28076282848011,1624.01468838778,-1,-446.323637785735,0,0,0,1800,0
"50","UT-C06-P02",248379.4895,4590202.373,5.6,12.3454545454545,32.8,13.0909090909091,39.0181818181818,5.32422496654369,1604.53650806568,-1,-461.667940909402,0,0,0,1800,0
"51","UT-C06-P03",248630.8162,4590184.715,6.65454545454545,13.2181818181818,31.2727272727273,11.4181818181818,39.5090909090909,2.18654067428024,1575.65909378617,-1,-381.445823237581,0,0,0,1800,0
"52","UT-C06-P04",248882.1446,4590167.058,6.59259259259259,13.8518518518519,28.1111111111111,10.6851851851852,42.8333333333333,2.40513075443736,1551.96295701412,-1,-214.680973268905,0,0,0,1800,0
"53","UT-C06-P05",248111.7838,4589972.317,4.88679245283019,10.7735849056604,34.1509433962264,13.1132075471698,39.4716981132075,4.83420426504953,1617.78097098214,-1,-687.183981759208,0,0,0,1800,0
"54","UT-C06-P06",248363.1097,4589954.657,6.14285714285714,12.8392857142857,27.8571428571429,10.1785714285714,45.0178571428571,5.77740284312855,1616.37600763494,-1,-651.182393022017,0,0,0,1800,0
"55","UT-C06-P07",248614.437,4589936.997,6,12.3703703703704,32.3703703703704,12.7592592592593,39.6851851851852,3.45267299436173,1574.6845703125,-1,-430.696279672476,0,0,0,1800,0
"56","UT-C06-P08",248865.7659,4589919.339,5.17307692307692,12.5961538461538,29.5961538461538,12.2307692307692,42.6923076923077,2.23178405761719,1547.82985395952,-1,-178.354805270108,0,0,0,1800,0
"57","UT-C06-P09",248095.4021,4589724.603,5.14545454545455,11.8545454545455,32.5090909090909,13.4909090909091,39.8545454545455,3.65027085790094,1595.40230459537,-1,-918.306091308594,0,0,0,1800,0
"58","UT-C06-P10",248346.7286,4589706.941,4.6,10.9090909090909,32.6363636363636,13.8727272727273,41.3090909090909,4.87336558216023,1593.41271972656,-1,-726.682519095285,0,0,0,1800,0
"59","UT-C06-P11",248598.0566,4589689.28,5.31481481481481,11.9259259259259,34.3333333333333,14.2407407407407,37.2777777777778,3.68108763518157,1570.0913289388,-1,-489.202840909091,0,0,0,1800,0
"60","UT-C06-P12",248849.3862,4589671.62,4.98181818181818,12.4545454545455,30.8545454545455,13.0363636363636,40.4909090909091,2.09893263432018,1544.26294373629,-1,-250.659317016602,0,0,0,1800,0
"61","UT-C06-P13",248079.0192,4589476.89,5.23214285714286,11.8214285714286,33.0892857142857,12.9464285714286,39.0892857142857,2.55061081220519,1572.41829119988,-1,-1031.88355146136,0,0,0,1800,0
"62","UT-C06-P14",248330.3463,4589459.226,7.125,14.2857142857143,25.6785714285714,9.16071428571429,45.5357142857143,1.98936351429332,1569.71985751065,-1,-783.088045473452,0,0,0,1800,0
"63","UT-C06-P15",248581.6751,4589441.563,4.56363636363636,12.0909090909091,31.7454545454545,13.7454545454545,39.8,2.10249083382743,1555.21738106864,-1,-549.528834025065,0,0,0,1800,0
"64","UT-C06-P16",248833.0053,4589423.902,4.5,11.7777777777778,34.6851851851852,15.1666666666667,36.3148148148148,1.87212940562855,1536.7023215554,-1,-321.931892112449,0,0,0,1800,0
"65","UT-B15-P01",252892.7255,4637782.099,6.92592592592593,16.0555555555556,54.8703703703704,19.6481481481481,9.25925925925926,4.62001433195891,1932.67350486473,-1,679.111308506557,0,1,701.092977072976,1999,1
"66","UT-B15-P02",253144.5449,4637782.706,9.8,18.9818181818182,50.1090909090909,16.6181818181818,11.2,3.40058265542084,1934.95434800634,-1,904.699590509588,0,1,727.827432197437,1999,1
"67","UT-B15-P03",253391.9325,4637782.696,15.5,26.6851851851852,43.0925925925926,10.9444444444444,9.90740740740741,4.15525568181818,1923.0652010831,-1,1131.92825317383,1,1,708.92601612636,1999,1
"68","UT-B15-P04",253650.1199,4637781.163,14.2884615384615,24.7884615384615,39.2115384615385,11.0961538461538,15.4807692307692,3.72051493326823,1884.03550663701,-1,1162.61427815755,0,1,899.029620992726,1999,1
"69","UT-B15-P05",252894.3888,4637533.729,14.9272727272727,26.2909090909091,44.6,11.8363636363636,8.45454545454546,2.81307872425426,1905.19596946023,-1,575.065045720881,0,1,920.781646173651,1999,1
"70","UT-B15-P06",253146.2091,4637534.335,7.57142857142857,14.75,53.9107142857143,20.3571428571429,11.2142857142857,2.78881613991477,1910.74852405895,-1,811.263555456091,0,1,712.959586126154,1999,1
"71","UT-B15-P07",253398.03,4637534.943,10.8214285714286,21.0178571428571,48.3214285714286,14.7142857142857,10.125,3.03339650080754,1913.14117431641,-1,993.694662588614,0,1,856.776770229997,1999,1
"72","UT-B15-P08",253649.8518,4637535.552,13.9814814814815,23.462962962963,42.1296296296296,11,13.2777777777778,2.75629670279367,1892.60478864397,-1,922.977823893229,1,1,839.592185387245,1999,1
"73","UT-B15-P09",252896.0514,4637285.359,11.9285714285714,22.5178571428571,46.625,13.1607142857143,9.03571428571429,3.15657128228082,1899.9083432798,-1,513.732477041391,3,1,1010.44878045444,1999,1
"74","UT-B15-P10",253147.8723,4637285.965,6.20754716981132,13.6603773584906,54.7169811320755,22.188679245283,12.2264150943396,5.2202885945638,1887.78728117766,-1,760.728218078613,1,1,529.40339415414,1999,1
"75","UT-B15-P11",253399.6943,4637286.571,4.82142857142857,12.1071428571429,54.5892857142857,20.6785714285714,14.7321428571429,3.73111249815743,1892.48858297096,-1,815.550853801223,0,1,675.535455431257,1999,1
"76","UT-B15-P12",253650.9717,4637278.196,12.4074074074074,21.7037037037037,44.5740740740741,12.1111111111111,12.7222222222222,1.68642411665483,1889.36507679332,-1,691.739289460359,1,1,1390.75622669567,1999,1
"77","UT-B15-P13",252897.7137,4637036.99,5.51851851851852,12.9259259259259,56.5555555555556,19.7592592592593,10.2407407407407,2.8821347323331,1896.99488636364,-1,452.640787575462,0,1,941.673269201208,1999,1
"78","UT-B15-P14",253149.5354,4637037.595,6.86538461538461,14.3076923076923,54.6538461538462,20.25,10.9230769230769,5.79292597089495,1876.17092023577,-1,693.087248625579,0,1,833.602246420724,1999,1
"79","UT-B15-P15",253401.3581,4637038.2,8.16071428571429,16.9821428571429,50.4285714285714,16.875,12,3.38761707652699,1869.39788929332,-1,635.29160600142,1,1,481.579931930259,1999,1
"80","UT-B15-P16",253653.1816,4637038.807,10.5185185185185,20.1111111111111,49.6851851851852,13.037037037037,9.42592592592593,2.25003301447088,1876.12846013849,-1,473.692782475398,0,1,584.822646176373,1999,1
"81","UT-B16-P01",252256.7492,4639695.909,8.51851851851852,17.037037037037,52.8703703703704,17.4074074074074,9.11111111111111,4.14756041306716,1834.33666757437,-1,91.3764777550331,0,1,367.147542317708,2006,2
"82","UT-B16-P02",252508.5559,4639695.507,7.56363636363636,15.1636363636364,56.3636363636364,16.6363636363636,8.43636363636364,7.68067196437291,1862.92980303083,8,326.861772294478,0,1,568.257002397017,1999,1
"83","UT-B16-P03",252760.3634,4639695.106,6.14285714285714,13.9107142857143,60.4642857142857,19.3214285714286,4.55357142857143,6.39775701669546,1869.10495229868,2,577.507370827415,0,1,688.155806107955,1999,1
"84","UT-B16-P04",253012.1719,4639694.706,8.67857142857143,17.1785714285714,54.4107142857143,15.875,7.21428571428571,5.5265458540483,1864.3345370206,8,827.037480024858,1,1,647.126795543324,1999,1
"85","UT-B16-P05",252257.4066,4639447.538,12.2452830188679,24.0943396226415,47.6415094339623,10.6603773584906,5.79245283018868,3.87898504083807,1860.36851251776,-1,110.840851384943,3,1,494.218658447266,2006,2
"86","UT-B16-P06",252509.2141,4639447.135,9.55555555555556,22.1666666666667,50.8888888888889,12.8703703703704,6.53703703703704,7.699545401114,1906.96837474682,8,346.66964164147,0,1,496.396409468217,1999,1
"87","UT-B16-P07",252761.0224,4639446.734,9.2962962962963,23.5740740740741,49.7407407407407,12.6111111111111,6.05555555555556,7.25258900035511,1933.51334339489,1,596.466047014509,0,1,561.349914550781,1999,1
"88","UT-B16-P08",253012.8317,4639446.333,8.7962962962963,21.4074074074074,51.1851851851852,13.3518518518519,5.88888888888889,7.75308520977314,1907.29310255784,2,847.423240074745,0,1,685.334687409578,1999,1
"89","UT-B16-P09",252258.0633,4639199.168,14.25,30.1785714285714,44.625,8.05357142857143,4.07142857142857,5.28515264337713,1897.23555131392,8,168.487443853308,0,1,671.629369903029,1999,1
"90","UT-B16-P10",252509.8717,4639198.764,6.92727272727273,18.1636363636364,55.2545454545455,14.9818181818182,6.32727272727273,8.39458861174407,1954.2720223886,8,405.793986002604,0,1,442.60693359375,1999,1
"91","UT-B16-P11",252761.681,4639198.362,12.7777777777778,25.6851851851852,45.3148148148148,9.5,9.68518518518519,7.39225073028029,2009.30689975672,1,651.537245871804,0,1,488.512942843967,1999,1
"92","UT-B16-P12",253013.491,4639197.96,6.75,21.5357142857143,53.5535714285714,14.3392857142857,4.05357142857143,9.13498817299897,1979.16745283019,2,893.483761319247,0,1,695.228179396245,1999,1
"93","UT-B16-P13",252515.41,4638948.341,7.89285714285714,23.1607142857143,51.4285714285714,11.7321428571429,5.23214285714286,7.76502685546875,2001.24658425071,8,476.728971693251,0,1,590.043285793728,1999,1
"94","UT-B16-P14",252257.4349,4638949.524,11.8301886792453,27.3207547169811,46.8867924528302,10.188679245283,5.07547169811321,7.26605252866392,1957.2844893844,8,235.909930558638,0,1,589.459545407976,1999,1
"95","UT-B16-P15",252762.3388,4638949.99,11.5090909090909,25.5272727272727,44.7636363636364,10.6181818181818,8.01818181818182,4.03207426251106,2046.14693350162,-1,718.468823242187,3,1,543.279505762561,1999,1
"96","UT-B16-P16",253014.1497,4638949.587,8.54545454545454,24.3818181818182,51.1272727272727,12.7636363636364,3.58181818181818,5.68290738706236,2029.30862539786,2,955.881016322545,0,1,759.951908735795,1999,1
"97","UT-B25-P01",250910.3795,4636906.331,6.12727272727273,12.1818181818182,55.8909090909091,16,11.9272727272727,10.3433447943793,1832.23695430049,2,111.665308726918,0,1,463.961029052734,2006,2
"98","UT-B25-P02",250881.0798,4636659.692,7.2,15.4545454545455,56.8545454545455,16.4181818181818,6.8,8.23115341751664,1895.01399739583,1,286.094497963234,0,1,325.59345967429,1999,1
"99","UT-B25-P03",251131.034,4636629.141,5.94444444444444,12.7222222222222,58.5185185185185,18.0185185185185,8.16666666666667,9.20266390713778,1873.77768332741,1,223.683788440846,0,1,400.989636456525,1999,1
"100","UT-B25-P04",251380.9903,4636598.591,4.94545454545455,11.0909090909091,60.8909090909091,20.4181818181818,7.2,10.4509223655418,1866.77066831236,2,171.48516872951,0,1,425.684548272027,1999,1
"101","UT-B25-P05",251630.9486,4636568.042,6.34545454545455,14.6363636363636,56.8727272727273,12.8,6.96363636363636,12.6101291797779,1869.69873046875,1,94.8980183234582,0,1,445.772796630859,2006,2
"102","UT-B25-P06",250614.6968,4636455.858,4.07272727272727,13.3818181818182,57.5818181818182,14.3090909090909,8.10909090909091,10.2751086098807,1902.92685590472,8,222.167023250035,3,1,165.179679134436,1999,1
"103","UT-B25-P07",250851.7786,4636413.053,7.05357142857143,14.5535714285714,54.0357142857143,14.875,12.125,9.40247553045099,1972.36942915483,8,364.369474622938,0,1,319.50332232884,1999,1
"104","UT-B25-P08",251101.7333,4636382.5,5.68518518518519,15.5185185185185,58.2592592592593,16.7592592592593,5.24074074074074,9.9067626953125,1939.41869007457,1,419.536792896412,0,1,357.705255013925,1999,1
"105","UT-B25-P09",251351.6903,4636351.948,2.71153846153846,8.46153846153846,62.6346153846154,24.7307692307692,9.84615384615385,9.89561489650181,1919.27870396205,3,402.698310307094,0,1,352.751476146557,1999,1
"106","UT-B25-P10",251601.6492,4636321.397,6,13.25,54.3214285714286,15.9107142857143,13.8571428571429,7.81629491735388,1936.50032099971,8,328.684686448839,0,1,370.725324931898,1999,1
"107","UT-B25-P11",250822.4758,4636166.415,7.85454545454545,16.0545454545455,48.5454545454545,11.3454545454545,17.2909090909091,9.3076834048865,2022.70864580262,8,162.701898609508,1,1,333.016774323027,1999,1
